TreatmentGroup,Generations,AlleleDistrobution,PopulationSize,Number of alleles,RealNumberOfLoci,EstimatedNumberOfLoci,Fis,AverageShanPerIndi-1Hi,TotalShanOfPop-1Hs,Average1HiOver1Hs,AverageHighestAlleleCountPerIndividual,VarOfIndiSHAN,Number of Fixed loci,AverageRichPerIndi-0Hi,TotalRichOfPop-0Hs,VarOfIndiRICH,AverageHetPerIndi-2Hi,TotalHetOfPop-2Hs,VarOfIndiHET,EyePRime,Pee,Eye,Ell,Ohh,LOC OR AL,IndiEveness,PopEveness,Fis,Sis
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,-0.013396172,1.494991717,2.091324159,0.714854132,1.9,0.035581811,ERROR with this fucntion atm,-3.725,10,0.649375,0.761111111,0.8571875,0.002191358,"[-0.14999999999999977, '10', '4.725', 3.0, '0.4725']",,,,,10,0.649266653,0.908250542,-0.013396172,0.285145868
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,0.009390192,1.385130488,2.010970695,0.688787008,2.2,0.070728397,ERROR with this fucntion atm,-3.375,10,0.984375,0.722222222,0.8334375,0.007098765,"[0.08333333333333333, '10', '4.375', 3.0, '0.4375']",,,,,10,0.601554528,0.873353476,0.009390192,0.311212992
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,0.068442747,1.417720572,2.191426341,0.646939642,2.025,0.073708804,ERROR with this fucntion atm,-3.45,10,1.0975,0.736111111,0.88,0.006905864,"[0.033333333333333215, '10', '4.45', 3.0, '0.445']",,,,,10,0.615708221,0.951724367,0.068442747,0.353060358
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,0.115727233,1.507959995,2.180789215,0.691474437,1.675,0.072878139,ERROR with this fucntion atm,-3.8,10,1.31,0.7625,0.875034722,0.004627701,"[-0.19999999999999987, '10', '4.8', 3.0, '0.48']",,,,,10,0.654898705,0.947104722,0.115727233,0.308525563
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,0.012004478,1.439409652,2.144790039,0.671119143,1.975,0.031996836,ERROR with this fucntion atm,-3.475,10,0.599375,0.748611111,0.869340278,0.001849923,"[0.016666666666666902, '10', '4.475', 3.0, '0.44749999999999995']",,,,,10,0.625127669,0.931470479,0.012004478,0.328880857
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,-0.010808644,1.494991717,2.12954265,0.702024783,1.725,0.063281111,ERROR with this fucntion atm,-3.725,10,1.149375,0.761111111,0.869409722,0.003888889,"[-0.14999999999999977, '10', '4.725', 3.0, '0.4725']",,,,,10,0.649266653,0.924848622,-0.010808644,0.297975217
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,-0.063196513,1.560710409,2.241833995,0.696175726,1.7,0.042706935,ERROR with this fucntion atm,-4,10,0.8,0.777777778,0.890069444,0.002469136,"[-0.3333333333333333, '10', '5.0', 3.0, '0.5']",,,,,10,0.677807918,0.973616133,-0.063196513,0.303824274
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,-0.026696485,1.484855089,2.03271687,0.730478066,1.9,0.043214881,ERROR with this fucntion atm,-3.7,9,0.76,0.756944444,0.860277778,0.002883873,"[-0.13333333333333344, '9', '4.7', 3.0, '0.5222222222222223']",,,,,9,0.675786674,0.925129316,-0.026696485,0.269521934
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,0.046631326,1.416304746,1.922205567,0.736812322,1.875,0.065895465,ERROR with this fucntion atm,-3.4,9,1.14,0.740277778,0.834652778,0.00484375,"[0.06666666666666643, '9', '4.4', 3.0, '0.48888888888888893']",,,,,9,0.644588069,0.874833454,0.046631326,0.263187678
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,-0.018856428,1.317883045,1.955004882,0.674107291,2.5,0.136926393,ERROR with this fucntion atm,-3.225,9,1.174375,0.686111111,0.838576389,0.029405864,"[0.18333333333333357, '9', '4.225', 3.0, '0.4694444444444444']",,,,,9,0.599794422,0.889761066,-0.018856428,0.325892709
